"iid","gender","attr1_1"
1,"female",15
2,"female",45
3,"female",35
4,"female",20
5,"female",20
6,"female",10
7,"female",15
8,"female",9.09
9,"female",20
10,"female",15
11,"male",35
12,"male",60
13,"male",19
14,"male",30
15,"male",30
16,"male",50
17,"male",35
18,"male",33.33
19,"male",50
20,"male",100
21,"female",12
22,"female",20
23,"female",10
24,"female",10
25,"female",20
26,"female",20
27,"female",17
28,"female",NA
29,"female",20
30,"female",10
31,"female",35
32,"female",50
33,"female",30
34,"female",30
35,"female",20
36,"female",20
37,"female",10
38,"female",50
39,"female",20
40,"male",25
41,"male",30
42,"male",20
43,"male",25
44,"male",25
45,"male",25
46,"male",20
47,"male",20
48,"male",30
49,"male",20
50,"male",35
51,"male",25
52,"male",15
53,"male",40
54,"male",40
55,"male",20
56,"female",17
57,"female",10
58,"female",NA
59,"female",NA
60,"female",5
61,"female",15
62,"female",30
63,"female",5
64,"female",10
65,"female",17
66,"male",20
67,"male",20
68,"male",21
69,"male",50
70,"male",25
71,"male",60
72,"male",21
73,"male",30
74,"male",30
75,"male",20
76,"female",10
77,"female",15
78,"female",10
79,"female",10
80,"female",10
81,"female",10
82,"female",20
83,"female",10
84,"female",30
85,"female",20
86,"female",15
87,"female",15
88,"female",15
89,"female",25
90,"female",15
91,"female",15
92,"female",10
93,"female",14
94,"male",20
95,"male",18
96,"male",10
97,"male",50
98,"male",40
99,"male",30
100,"male",20
101,"male",40
102,"male",30
103,"male",40
104,"male",20
105,"male",30
106,"male",10
107,"male",19
108,"male",10
109,"male",15
110,"male",20
111,"male",20
112,"female",15
113,"female",15
114,"female",20
115,"female",20
116,"female",15
117,"female",20
119,"female",50
120,"female",10
121,"female",35
122,"male",40
123,"male",50
124,"male",40
125,"male",20
126,"male",25
127,"male",25
128,"male",40
129,"male",40
130,"male",80
131,"male",25
234,"female",20
235,"female",15
236,"female",15
237,"female",10
238,"female",15
239,"female",10
240,"female",10
241,"female",90
242,"female",20
243,"male",20
244,"male",20
245,"male",18
246,"male",35
247,"male",20
248,"male",25
249,"male",22
250,"male",20
251,"male",19
252,"female",0
253,"female",25
254,"female",25
255,"female",16.67
256,"female",15
257,"female",22
258,"female",7
259,"female",15
260,"female",19
261,"female",15
262,"female",10
263,"female",20
264,"female",15
265,"female",15
266,"female",25
267,"female",20
268,"female",30
269,"female",20
270,"female",16
271,"female",10
272,"female",25
273,"male",30
274,"male",30
275,"male",25
276,"male",24
277,"male",60
278,"male",25
279,"male",27
280,"male",25
281,"male",20
282,"male",25
283,"male",50
284,"male",25
285,"male",20
286,"male",10
287,"male",35
288,"male",20
289,"male",20
290,"male",30
291,"male",20
292,"male",20
293,"male",23
294,"female",20
295,"female",10
296,"female",15
297,"female",25
298,"female",10
299,"female",10
300,"female",15
301,"female",20
302,"female",50
303,"female",20
304,"female",5
305,"female",10
306,"female",16
307,"female",10
308,"male",17
309,"male",20
310,"male",24
311,"male",50
312,"male",25
313,"male",19
314,"male",20
315,"male",6.67
316,"male",25
317,"male",50
318,"male",40
319,"male",20
320,"male",20
321,"male",30
322,"female",2
323,"female",10
324,"female",40
325,"female",10
326,"female",15
327,"female",15
328,"female",22
329,"female",15
330,"female",15
331,"female",15
332,"male",60
333,"male",50
334,"male",40
335,"male",20
336,"male",20
337,"male",17
338,"male",10
339,"male",NA
340,"male",NA
341,"female",20
342,"female",40
343,"female",5
344,"female",15
345,"female",10
346,"female",NA
347,"female",30
348,"female",15
349,"female",25
350,"female",12
351,"female",15
352,"female",20
353,"female",15
354,"female",20
355,"female",50
356,"female",15
357,"female",15
358,"female",20
359,"female",9
360,"female",20
361,"male",30
362,"male",20.51
363,"male",25
364,"male",25
365,"male",31.58
366,"male",14
367,"male",30
368,"male",20
369,"male",17
370,"male",50
371,"male",40
372,"male",30
373,"male",75
374,"male",50
375,"male",30
376,"male",30
377,"male",25
378,"male",25
379,"female",15
380,"female",20
381,"female",20
382,"female",25
383,"female",25
384,"female",20
385,"female",25
386,"female",15
387,"female",20
388,"female",22
389,"female",20
390,"female",10
391,"female",35
392,"female",15
393,"female",8
394,"female",18
395,"female",20
396,"female",15
397,"male",20
398,"male",45
399,"male",25
400,"male",70
401,"male",35
402,"male",25
403,"male",20
404,"male",25
405,"male",30
406,"male",20
407,"male",30
408,"male",20
409,"male",20
410,"male",20
411,"male",35
412,"male",75
413,"male",10
414,"male",95
415,"male",10
416,"female",15
417,"female",20
418,"female",15
419,"female",5
420,"female",10
421,"female",20
422,"male",30
423,"male",30
424,"male",17
425,"male",16
426,"male",25
427,"male",20
428,"male",60
429,"male",55
430,"female",10
431,"female",15
432,"female",15
433,"female",20
434,"female",30
435,"female",25
436,"female",28
437,"female",15
438,"female",14
439,"female",20
440,"male",35
441,"male",35
442,"male",40
443,"male",30
444,"male",50
445,"male",40
446,"male",30
447,"male",15
448,"male",25
449,"male",55
450,"male",50
451,"male",20
452,"male",35
453,"male",30
454,"female",10
455,"female",10
456,"female",25
457,"female",25
458,"female",50
459,"female",30
460,"male",20
461,"male",40
462,"male",30
463,"male",15
464,"male",15
465,"male",20
466,"female",10
467,"female",20
468,"female",15
469,"female",20
470,"female",10
471,"female",15
472,"female",10
473,"female",15
474,"female",15
475,"female",10
476,"female",20
477,"female",16
478,"female",20
479,"female",15
480,"female",16
481,"male",25
482,"male",20
483,"male",40
484,"male",16
485,"male",20
486,"male",20
487,"male",25
488,"male",15
489,"male",20
490,"male",30
491,"male",30
492,"male",30
493,"male",30
494,"male",25
495,"male",20
496,"female",20
497,"female",10
498,"female",18
499,"female",19
500,"female",10
501,"female",30
502,"male",40
503,"male",30
504,"male",30
505,"male",20
506,"male",15
507,"male",20
508,"male",18
509,"female",10
510,"female",25
511,"female",20
512,"female",20
513,"female",20
514,"female",20
515,"female",20
516,"female",58
517,"female",15
518,"female",20
519,"female",40
520,"female",25
521,"female",10
522,"female",10
523,"female",10
524,"female",15
525,"female",10
526,"female",10
527,"female",50
528,"female",40
529,"female",10
530,"female",20
531,"male",15
532,"male",25
533,"male",25
534,"male",30
535,"male",23
536,"male",30
537,"male",20
538,"male",50
539,"male",30
540,"male",20
541,"male",40
542,"male",25
543,"male",20
544,"male",15
545,"male",20
546,"male",35
547,"male",25
548,"male",40
549,"male",20
550,"male",30
551,"male",40
552,"male",70
